"","subject.id","date","cohort","mean.temp","precipi","RE","minute.ema.was.collected","PosMean","NegMean","distances","unique_locations","novel_locations","RE_two_decimal","UL_two_decimal","TOP3_PCA3_HL","RE_NoInterpolation"
"1","MM1001","11/2/2015",3,82,0,0.107768205063952,NA,NA,NA,13.73230254,48,48,1.630438385,13,1.054578476,0.10615070908225
"2","MM1001","11/3/2015",3,81,0,0.166576045721456,NA,NA,NA,54.91898331,125,124,2.035466108,32,1.387893487,0.16373722828776
"3","MM1001","11/4/2015",3,83,0.22,0.157851093625477,NA,NA,NA,35.51042142,124,119,1.807319339,22,1.008109792,0.155267228614239
"4","MM1001","11/5/2015",3,83,0,0.104468127789087,NA,NA,NA,9.409779631,65,62,1.061911984,4,0.937734294,0.102520282532116
"5","MM1001","11/6/2015",3,81,0.26,0.154745659452717,NA,NA,NA,49.31285481,154,147,2.075633333,28,1.110276459,0.151610450177556
"6","MM1001","11/7/2015",3,83,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MM1001","11/8/2015",3,83,0,0.065154157751144,601,42.75,58,6.20890503,60,58,0.262986913,4,0.227448993,0.065154157751144
"8","MM1001","11/9/2015",3,83,0,0.147477635514917,NA,NA,NA,33.84768802,109,100,1.568812544,14,0.973070152,0.145813300891301
"9","MM1001","11/10/2015",3,82,0.02,0.0926870995071829,NA,NA,NA,10.15629962,43,36,1.041296998,7,0.821034682,0.0912880645310295
"10","MM1001","11/11/2015",3,81,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","MM1001","11/12/2015",3,81,0,NA,849,48.25,36.75,NA,NA,NA,NA,NA,NA,NA
"12","MM1001","11/13/2015",3,82,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MM1001","11/14/2015",3,75,3.37,0.0893984989633002,NA,NA,NA,13.1210379,63,60,0.654876919,8,0.473382869,0.0874035646380998
"14","MM1001","11/15/2015",3,75,0.77,0.115909059884144,NA,NA,NA,43.72471106,79,74,1.046274648,30,0.804723033,0.115635244263349
"15","MM1001","11/16/2015",3,77,0.05,0.128055954556433,567,73.25,18,37.53016514,105,90,1.856081679,20,0.99216469,0.126753339774029
"16","MM1001","11/17/2015",3,79,0.04,0.106701291371988,NA,NA,NA,8.654949236,32,26,0.991636558,5,0.929604888,0.103586367614119
"17","MM1001","11/18/2015",3,82,0.24,0.1360310169041,NA,NA,NA,32.96677501,99,85,1.526694069,17,0.981973239,0.135672640236949
"18","MM1001","11/19/2015",3,81,0.01,0.123055217337615,583,56.75,38.5,58.13231408,106,94,1.821884412,28,1.449765693,0.122695672030754
"19","MM1001","11/20/2015",3,80,0,0.150251322194707,1018,63.25,21.25,42.17466656,147,140,2.004824344,27,1.269769204,0.142894324857575
"20","MM1001","11/21/2015",3,76,0.95,0.158455628468387,NA,NA,NA,52.00027845,131,117,1.388393865,24,1.168048252,0.154709987281275
"21","MM1001","11/22/2015",3,77,0.62,0.0859169489109066,NA,NA,NA,30.11961839,42,39,0.866427393,21,0.736228764,0.0834079829556314
"22","MM1001","11/23/2015",3,71,0,0.107443542353731,NA,NA,NA,10.95716489,54,44,1.053962571,6,0.760421029,0.104893666418432
"23","MM1001","11/24/2015",3,70,0.03,0.130367571464794,1018,67.25,11.25,9.972636074,56,47,1.136790849,5,0.937514808,0.12768023504138
"24","MM1001","11/25/2015",3,74,0.27,0.157663868682149,NA,NA,NA,62.82631069,120,115,1.78819227,32,1.103086912,0.157329348017152
"25","MM1001","11/26/2015",3,74,0.04,0.121588188388514,NA,NA,NA,298.9636462,181,179,2.270534174,149,0.949902651,0.115536422963752
"26","MM1001","11/27/2015",3,75,0.05,0.156049839091551,NA,NA,NA,129.3468653,143,142,1.966031805,54,0.815747552,0.152329202387994
